Linux 3.11.0-17-generic (axle) 	11/11/14 	_x86_64_	(64 CPU)

05:33:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:34:30        all      4.94      0.00      0.90      0.18      0.00     93.98
05:35:30        all      2.50      0.00      0.32      0.07      0.00     97.11
05:36:30        all      1.44      0.00      0.19      0.02      0.00     98.34
05:37:30        all      1.42      0.00      0.19      0.04      0.00     98.35
05:38:30        all      2.31      0.00      0.30      0.05      0.00     97.35
05:39:30        all      7.55      0.00      0.88      0.14      0.00     91.43
05:40:30        all      3.06      0.00      0.16      0.05      0.00     96.73
05:41:30        all      1.60      0.00      0.08      0.02      0.00     98.30
05:42:30        all      1.53      0.00      0.05      0.00      0.00     98.42
05:43:30        all      1.49      0.00      0.09      0.00      0.00     98.42
05:44:30        all      1.25      0.00      0.32      0.02      0.00     98.41
05:45:30        all      1.32      0.00      0.25      0.01      0.00     98.42
05:46:30        all      1.51      0.00      0.07      0.00      0.00     98.42
